100.09,53.018,50.646,103.2,51.21,122.82,386.33,62.161,90.623
91.212,53.007,72.791,87.148,55.26,112.69,321.68,64.841,148.5
73.779,52.893,57.785,89.772,47.979,84.79,241.51,54.804,142.04
59.347,45.953,51.521,71.569,45.022,65.54,227.33,55.482,145.88
60.657,42.53,59.841,105.44,41.385,68.227,231.18,49.09,255.18
65.681,46.253,50.639,104.13,37.98,72.87,235.68,45.4,230.25
59.39,50.77,49.999,110.25,36.116,67.534,272.45,44.654,298.97
56.969,70.516,41.301,157.21,32.267,76.7,247.31,41.786,304.53
56.541,100.73,39.837,136.94,28.764,77.658,237.7,70.575,274.98
53.951,79.435,36.037,149.03,26.434,74.227,243.05,61,245.32
47.475,113.93,21.579,104.8,18.839,52.125,256.29,154.8,170
48.307,175.5,21.007,103.7,17.058,49.444,265.89,160.15,135.9
34.221,221.87,25.105,98.334,19.714,45.115,250.02,109.28,107.7
30.328,276.23,28.25,73.037,19.901,36.639,250.05,119.68,82.162
30.276,265.59,41.493,116.76,30.776,37.743,251.09,82.199,90.777
29.689,241.66,36.959,150.87,36.98,81.192,277,89.574,97.762
27.695,285.7,45.832,155.82,35.662,69.441,277,94.103,99.309
25.34,265.13,55.541,142.55,32.279,78.854,277,95.083,115.3
24.11,269.89,44.725,126.1,34.984,76.471,277,87.764,120.56
23.637,214.53,57.903,127.14,37.214,69.996,277,90.298,120.97
23.134,182.22,42.993,127.55,35.644,65.172,277,83.38,118.27
28.145,159.89,70.92,123.47,31.594,61.068,277,82.769,126.21
28.188,138.68,41.247,183.2,44.468,61.923,277,78.643,150.78
28.59,137,34.083,171.14,77.232,57.403,277,74.055,177.3
28.55,137,33.26,170,176.24,55.527,277,73.166,205.56
28.227,137,33.032,170,90.499,54.72,277,71.172,164.97
28.15,137,33.009,170,74.374,54.908,277,71.085,165.56
27.799,137,33.002,170,72.899,53.894,277,71.004,171.12
27.097,137,33.002,170,59.235,61.326,277,71,189.62
27.058,137,33.001,170,53.716,60.759,277,71,206.57
27.003,137,33,170,48,74,277,71,213.11
27,137,33,170,48,74.024,277,71,236.01
27,137,33,170,48,74,277,71,236
27,137,33,170,48,74,277,71,236
27.001,137,33,170,48,74,277,71,236
27.001,137,33.001,170,48,74,277,71,236
27.002,137,33.001,170,48,74,277,71,236
27.002,137,33.001,170,48,74,277,71,236
27.003,137,33.002,170,48,74,277,71,236
27.004,137,33.002,170,48,74,277,71,236
27,137,33,170,48,74,277,71,236
27,137,33,170,48,74,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
27,137,33,170,48,75,277,71,236
